,id,random_numbers,random_text,logical_values
826,826,465,nl5Rx,TRUE
827,827,605,UfZcw,TRUE
828,828,826,j9Xz7,TRUE
829,829,768,puYqj,TRUE
830,830,278,nM1WI,FALSE
831,831,590,mpItc,FALSE
832,832,207,uVicx,FALSE
833,833,845,DcxEb,FALSE
834,834,832,3BEKn,FALSE
835,835,381,Ii8k2,FALSE
836,836,120,GCU7t,TRUE
837,837,254,iquK0,FALSE
838,838,553,NpuN0,TRUE
839,839,459,qCLX0,FALSE
840,840,357,KxNpf,TRUE
841,841,270,jv4CT,TRUE
842,842,416,vEj3w,TRUE
843,843,557,ZlAaW,FALSE
844,844,228,X5lcM,FALSE
845,845,260,ID4Xv,FALSE
846,846,802,mSXB5,TRUE
847,847,901,2XfEU,TRUE
848,848,31,8AT9G,FALSE
849,849,212,wpL3G,TRUE
850,850,797,q62Td,TRUE
851,851,245,kWRuI,FALSE
852,852,911,FYyur,FALSE
853,853,319,ZnJXJ,FALSE
854,854,626,iLxBt,FALSE
855,855,530,RpaQu,FALSE
856,856,58,jyyAh,FALSE
857,857,766,4cAiz,FALSE
858,858,303,T0OpU,FALSE
859,859,426,dkBJE,FALSE
860,860,90,eoz1p,FALSE
861,861,187,2yqgN,FALSE
862,862,486,hoZeV,FALSE
863,863,632,cZQkr,FALSE
864,864,975,YnZhK,FALSE
865,865,147,90Qzw,TRUE
866,866,425,2YUNp,FALSE
867,867,405,o3dZJ,FALSE
868,868,225,aJcNE,FALSE
869,869,549,dwVdt,FALSE
870,870,935,i86V6,FALSE
871,871,106,1zyCe,TRUE
872,872,468,Lo8b4,TRUE
873,873,38,RT9ha,FALSE
874,874,370,VGZHe,TRUE
875,875,70,9MtlZ,FALSE
876,876,575,6d7oZ,TRUE
877,877,82,OdrTT,FALSE
878,878,38,yJRvW,TRUE
879,879,1,UgbeX,TRUE
880,880,691,WYZtZ,TRUE
881,881,314,WoKPF,TRUE
882,882,371,IuSFw,FALSE
883,883,821,9X8fT,FALSE
884,884,18,7dqER,TRUE
885,885,506,p8ZB9,TRUE
886,886,219,4C19W,TRUE
887,887,555,9nUrl,FALSE
888,888,523,Dp2kj,FALSE
889,889,425,lcACe,TRUE
890,890,484,QI6HM,FALSE
891,891,858,e2u3G,TRUE
892,892,983,EQBLQ,FALSE
893,893,969,7PS1u,TRUE
894,894,239,EsaZJ,FALSE
895,895,657,n0xP9,TRUE
896,896,69,qNl9X,TRUE
897,897,779,67ZZ6,FALSE
898,898,257,A673F,FALSE
899,899,282,https://github.com/or-sirina/secret,FALSE
900,900,630,8F2Ii,TRUE
901,901,931,Jn6dL,TRUE
902,902,196,wnvlg,FALSE
903,903,528,TACxc,FALSE
904,904,186,uMFgf,TRUE
905,905,628,mlCQo,FALSE
906,906,310,RK1E0,TRUE
907,907,996,6Z8Lo,TRUE
908,908,240,YMXm8,FALSE
909,909,343,6UpsG,TRUE
910,910,168,CX0aF,TRUE
911,911,827,ZAGE4,TRUE
912,912,341,qKeIC,TRUE
913,913,309,zFq78,TRUE
914,914,625,TDQtm,TRUE
915,915,903,Pnj0G,TRUE
916,916,737,55Ch8,TRUE
917,917,101,Nz97F,TRUE
918,918,506,sDZdq,TRUE
919,919,771,BdXeK,TRUE
920,920,814,GUgL0,TRUE
921,921,283,8WD7p,FALSE
922,922,514,LqqpM,FALSE
923,923,14,nvGgh,TRUE
924,924,865,D4o41,TRUE
925,925,962,Y18HL,FALSE
926,926,277,8OEIC,FALSE
927,927,227,3ZgbY,FALSE
928,928,549,MNzF2,TRUE
929,929,889,8XI5D,FALSE
930,930,279,XAHOw,TRUE
931,931,126,lwYSD,FALSE
932,932,441,GBKhn,TRUE
933,933,291,3aFfn,FALSE
934,934,322,fQi70,TRUE
935,935,588,ZjGPJ,TRUE
936,936,503,ROtSt,TRUE
937,937,272,sq3ci,FALSE
938,938,44,bAv0H,FALSE
939,939,47,quDPj,TRUE
940,940,74,Geny5,FALSE
941,941,911,JQyvV,FALSE
942,942,560,Ts3x3,FALSE
943,943,303,82bCK,FALSE
944,944,77,kj2Ng,FALSE
945,945,962,j1rcB,FALSE
946,946,131,TtI8t,FALSE
947,947,614,SFLrA,TRUE
948,948,680,vONoi,TRUE
949,949,816,NYo1L,TRUE
950,950,5,pdcnC,TRUE
951,951,252,E4PtE,FALSE
952,952,599,2N9oB,FALSE
953,953,105,8B2ms,TRUE
954,954,8,Nm6bR,TRUE
955,955,389,wfId6,FALSE
956,956,947,Oo3ID,FALSE
957,957,756,VgETH,FALSE
958,958,337,s98L2,FALSE
959,959,312,Dky5U,TRUE
960,960,463,9Zc5y,TRUE
961,961,390,2nFP3,FALSE
962,962,880,N5ngj,TRUE
963,963,384,l64pf,TRUE
964,964,763,7YF4l,TRUE
965,965,251,orntF,FALSE
966,966,725,eHZDS,TRUE
967,967,648,azr7x,FALSE
968,968,998,i8g87,FALSE
969,969,515,hkZx7,TRUE
970,970,907,5iL6p,TRUE
971,971,218,n4xyv,TRUE
972,972,930,vAJhY,FALSE
973,973,349,4ZWDs,TRUE
974,974,726,bqCxG,FALSE
975,975,382,GriqH,TRUE
976,976,475,oz1cg,TRUE
977,977,91,NhufX,TRUE
978,978,591,zih8u,FALSE
979,979,710,kyobX,TRUE
980,980,559,IOZC5,FALSE
981,981,813,cLYhb,TRUE
982,982,615,5boIj,FALSE
983,983,58,Vv8bV,FALSE
984,984,134,FY6r4,TRUE
985,985,648,jMFdP,FALSE
986,986,564,KZDRC,FALSE
987,987,767,YfVJT,TRUE
988,988,830,D4hne,FALSE
989,989,388,K5wuR,TRUE
990,990,194,M3qhW,TRUE
991,991,42,Y7BF3,FALSE
992,992,60,ML079,FALSE
993,993,11,8QGAs,FALSE
994,994,462,J027I,TRUE
995,995,90,VXqsT,TRUE
996,996,54,qp5Md,TRUE
997,997,343,DKnxk,TRUE
998,998,810,isO9U,TRUE
999,999,891,36pX6,TRUE
1000,1000,190,wQYfQ,FALSE
